PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,90,-
Width of the maximum infection one bacterium can handle,Nimax_std,23.142857142857142,-
Time window to track maximum infections,time_window,0.21739130434782608,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,5.146245956420898,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0
0.00038333333333333334,9997.0,997.0,3.0,0.0,999.2592592592599,1.0
0.0007666666666666667,9991.0,991.0,9.0,0.0,998.8148148148158,1.0
0.0011500000000000002,9986.0,987.0,14.0,0.0,998.1481481481496,1.0
0.0015333333333333334,9979.0,982.0,21.0,0.0,997.6296296296315,1.0
0.001916666666666667,9974.0,979.0,26.0,0.0,997.1851851851874,1.0
0.0023000000000000004,9967.0,973.0,33.0,0.0,996.2222222222251,1.0
0.002683333333333334,9963.0,969.0,37.0,0.0,995.3333333333369,1.0
0.0030666666666666668,9954.0,961.0,46.0,0.0,994.8148148148188,1.0
0.00345,9950.0,957.0,50.0,0.0,994.4444444444487,1.0
0.0038333333333333336,9945.0,953.0,55.0,0.0,993.6296296296345,1.0
0.004216666666666666,9942.0,950.0,58.0,0.0,992.8888888888943,1.0
0.004599999999999999,9935.0,944.0,65.0,0.0,992.2962962963021,1.0
0.004983333333333332,9929.0,940.0,71.0,0.0,991.925925925932,1.013157894736842
0.005366666666666666,9923.0,935.0,76.0,0.0,991.1111111111178,1.0
0.00575,9917.0,930.0,82.0,0.0,990.2222222222296,1.0
0.0061333333333333335,9912.0,925.0,87.0,0.0,989.7037037037114,1.0
0.006516666666666667,9908.0,922.0,91.0,0.0,988.6666666666752,1.0103092783505154
0.006900000000000001,9901.0,918.0,97.0,0.0,988.000000000009,1.0097087378640777
0.007283333333333334,9895.0,912.0,103.0,0.0,987.3333333333428,1.0089285714285714
0.007666666666666668,9886.0,903.0,112.0,0.0,986.8148148148247,1.0087719298245614
0.008050000000000002,9884.0,902.0,114.0,0.0,985.9259259259364,1.0172413793103448
0.008433333333333336,9881.0,900.0,116.0,0.0,985.3333333333443,1.0245901639344261
0.008816666666666669,9874.0,894.0,122.0,0.0,984.9629629629742,1.0238095238095237
0.009200000000000003,9870.0,891.0,126.0,0.0,984.296296296308,1.0236220472440944
0.009583333333333336,9869.0,891.0,127.0,0.0,983.7777777777899,1.023076923076923
0.00996666666666667,9866.0,888.0,130.0,0.0,983.4814814814938,1.0296296296296297
0.010350000000000003,9860.0,884.0,135.0,0.0,982.8148148148276,1.0354609929078014
0.010733333333333338,9853.0,879.0,141.0,0.0,982.0000000000134,1.0413793103448277
0.01111666666666667,9848.0,876.0,145.0,0.0,981.2592592592732,1.0460526315789473
0.011500000000000005,9840.0,869.0,152.0,0.0,980.370370370385,1.0512820512820513
0.011883333333333338,9835.0,865.0,156.0,0.0,979.7037037037188,1.05
0.012266666666666672,9830.0,863.0,160.0,0.0,978.7407407407566,1.048780487804878
0.012650000000000005,9826.0,859.0,164.0,0.0,978.5925925926085,1.0481927710843373
0.01303333333333334,9824.0,857.0,166.0,0.0,978.2962962963124,1.0529411764705883
0.013416666666666672,9819.0,855.0,170.0,0.0,977.7777777777943,1.0508474576271187
0.013800000000000007,9812.0,848.0,177.0,0.0,977.2592592592762,1.0552486187845305
0.014183333333333341,9807.0,845.0,181.0,0.0,976.9629629629801,1.0648648648648649
0.014566666666666674,9801.0,841.0,185.0,0.0,976.444444444462,1.068062827225131
0.014950000000000008,9794.0,835.0,191.0,0.0,975.8518518518698,1.0721649484536082
0.015333333333333341,9790.0,836.0,194.0,0.0,975.2592592592777,1.0714285714285714
0.015716666666666674,9788.0,836.0,196.0,0.0,974.5925925926115,1.07035175879397
0.01610000000000001,9785.0,833.0,199.0,0.0,973.9259259259453,1.08
0.016483333333333343,9782.0,832.0,200.0,0.0,973.1111111111311,1.083743842364532
0.01686666666666668,9778.0,830.0,203.0,0.0,972.592592592613,1.0809523809523809
0.01725000000000001,9771.0,823.0,210.0,0.0,971.9259259259468,1.088785046728972
0.017633333333333345,9765.0,819.0,214.0,0.0,971.5555555555767,1.091324200913242
0.018016666666666677,9759.0,818.0,219.0,0.0,970.8888888889105,1.0888888888888888
0.018400000000000014,9753.0,812.0,225.0,0.0,970.2222222222443,1.0905172413793103
0.018783333333333343,9745.0,806.0,232.0,0.0,969.7777777778002,1.0889830508474576
0.019166666666666676,9741.0,802.0,236.0,0.0,969.5555555555782,1.0916666666666666
0.01955000000000001,9736.0,799.0,240.0,0.0,968.888888888912,1.0991735537190082
0.019933333333333345,9732.0,797.0,242.0,0.0,968.5925925926159,1.1020408163265305
0.020316666666666674,9728.0,794.0,245.0,0.0,968.2222222222458,1.1088709677419355
0.02070000000000001,9723.0,791.0,248.0,0.0,967.8518518518757,1.1115537848605577
0.021083333333333343,9719.0,789.0,251.0,0.0,966.8148148148395,1.1181102362204725
0.02146666666666668,9714.0,786.0,254.0,0.0,965.9259259259512,1.1187739463601531
0.021850000000000012,9706.0,779.0,261.0,0.0,965.4814814815071,1.121212121212121
0.022233333333333345,9702.0,776.0,264.0,0.0,965.185185185211,1.120754716981132
0.022616666666666677,9701.0,775.0,265.0,0.0,964.8148148148409,1.1305970149253732
0.023000000000000013,9695.0,773.0,268.0,0.0,964.4444444444708,1.1323529411764706
0.023383333333333346,9690.0,771.0,272.0,0.0,963.8518518518787,1.1309090909090909
0.02376666666666668,9687.0,769.0,275.0,0.0,962.8888888889164,1.1335740072202165
0.024150000000000015,9684.0,768.0,277.0,0.0,962.7407407407684,1.1338028169014085
0.02453333333333335,9676.0,761.0,284.0,0.0,962.4444444444723,1.132404181184669
0.024916666666666684,9673.0,758.0,287.0,0.0,961.9259259259542,1.136518771331058
0.02530000000000002,9665.0,752.0,293.0,0.0,961.185185185214,1.1360544217687074
0.02568333333333335,9664.0,752.0,294.0,0.0,960.5185185185478,1.1476510067114094
0.026066666666666686,9656.0,749.0,298.0,0.0,959.7037037037336,1.1456953642384107
0.02645000000000002,9652.0,745.0,302.0,0.0,959.1111111111414,1.1442622950819672
0.026833333333333355,9649.0,742.0,305.0,0.0,958.4444444444753,1.145631067961165
0.027216666666666684,9644.0,738.0,309.0,0.0,958.1481481481792,1.146031746031746
0.02760000000000002,9637.0,732.0,315.0,0.0,957.555555555587,1.1526479750778815
