PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,90,-
Width of the maximum infection one bacterium can handle,Nimax_std,32.60869565217391,-
Time window to track maximum infections,time_window,0.8695652173913043,tau_l units
Time of first bursting due to membrane deterioration,firstburst_md,29.715999999999468,mins


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,9.934314727783203,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0
0.00038333333333333334,9996.0,997.0,4.0,0.0,999.407407407408,1.0
0.0007666666666666667,9989.0,991.0,11.0,0.0,998.7407407407418,1.0
0.0011500000000000002,9986.0,989.0,14.0,0.0,998.2962962962977,1.0
0.0015333333333333334,9980.0,986.0,20.0,0.0,997.6296296296315,1.0
0.001916666666666667,9978.0,984.0,22.0,0.0,997.0370370370393,1.0
0.0023000000000000004,9970.0,978.0,30.0,0.0,996.1481481481511,1.0
0.002683333333333334,9968.0,977.0,32.0,0.0,995.2592592592629,1.0
0.0030666666666666668,9962.0,973.0,38.0,0.0,994.3703703703746,1.0
0.00345,9958.0,971.0,42.0,0.0,993.7037037037085,1.0
0.0038333333333333336,9953.0,967.0,47.0,0.0,993.0370370370423,1.0
0.004216666666666666,9947.0,962.0,53.0,0.0,992.2962962963021,1.0
0.004599999999999999,9945.0,960.0,55.0,0.0,991.777777777784,1.0
0.004983333333333332,9939.0,956.0,61.0,0.0,991.0370370370438,1.0
0.005366666666666666,9936.0,953.0,64.0,0.0,990.4444444444516,1.0
0.00575,9930.0,949.0,70.0,0.0,989.8518518518595,1.0
0.0061333333333333335,9925.0,945.0,75.0,0.0,989.0370370370453,1.0
0.006516666666666667,9915.0,935.0,85.0,0.0,988.4444444444531,1.0
0.006900000000000001,9909.0,930.0,91.0,0.0,987.6296296296389,1.0
0.007283333333333334,9905.0,926.0,95.0,0.0,987.1851851851948,1.0
0.007666666666666668,9901.0,923.0,99.0,0.0,986.7407407407507,1.009433962264151
0.008050000000000002,9893.0,917.0,106.0,0.0,986.2962962963065,1.018181818181818
0.008433333333333336,9888.0,913.0,110.0,0.0,985.7037037037144,1.0357142857142858
0.008816666666666669,9884.0,911.0,112.0,0.0,985.5555555555663,1.0338983050847457
0.009200000000000003,9878.0,906.0,118.0,0.0,984.9629629629742,1.0403225806451613
0.009583333333333336,9871.0,900.0,124.0,0.0,984.5925925926041,1.0387596899224807
0.00996666666666667,9866.0,896.0,129.0,0.0,983.9259259259379,1.037037037037037
0.010350000000000003,9859.0,889.0,135.0,1.0,983.7777777777899,1.0364963503649636
0.010733333333333338,9857.0,888.0,137.0,1.0,982.9629629629757,1.0352112676056338
0.01111666666666667,9852.0,883.0,142.0,1.0,982.2962962963095,1.0347222222222223
0.011500000000000005,9850.0,881.0,144.0,1.0,981.5555555555693,1.0410958904109588
0.011883333333333338,9847.0,879.0,146.0,1.0,980.8148148148291,1.0463576158940397
0.012266666666666672,9841.0,874.0,151.0,1.0,980.222222222237,1.0573248407643312
0.012650000000000005,9833.0,869.0,157.0,1.0,979.5555555555708,1.0566037735849056
0.01303333333333334,9831.0,867.0,159.0,1.0,978.5925925926085,1.0559006211180124
0.013416666666666672,9829.0,865.0,161.0,1.0,977.9259259259424,1.0538922155688624
0.013800000000000007,9823.0,861.0,167.0,1.0,977.3333333333502,1.0535714285714286
0.014183333333333341,9822.0,861.0,168.0,1.0,976.740740740758,1.0520231213872833
0.014566666666666674,9817.0,858.0,173.0,1.0,976.0740740740919,1.0555555555555556
0.014950000000000008,9809.0,851.0,180.0,1.0,975.6296296296478,1.0601092896174864
0.015333333333333341,9805.0,848.0,183.0,1.0,974.8888888889076,1.0572916666666667
0.015716666666666674,9796.0,841.0,192.0,1.0,973.9259259259453,1.0707070707070707
0.01610000000000001,9787.0,836.0,198.0,1.0,973.4814814815012,1.0735294117647058
0.016483333333333343,9780.0,832.0,204.0,1.0,972.962962962983,1.0776699029126213
0.01686666666666668,9777.0,830.0,206.0,1.0,972.5185185185389,1.076555023923445
0.01725000000000001,9774.0,828.0,209.0,1.0,972.0000000000208,1.0751173708920188
0.017633333333333345,9770.0,825.0,213.0,1.0,971.1851851852066,1.0787037037037037
0.018016666666666677,9766.0,824.0,216.0,1.0,970.6666666666885,1.082191780821918
0.018400000000000014,9762.0,821.0,219.0,1.0,970.3703703703924,1.08
0.018783333333333343,9756.0,817.0,225.0,1.0,969.8518518518742,1.0782608695652174
0.019166666666666676,9751.0,814.0,230.0,1.0,969.4074074074301,1.0775862068965518
0.01955000000000001,9749.0,813.0,232.0,1.0,969.2592592592821,1.0858369098712446
0.019933333333333345,9746.0,812.0,233.0,1.0,968.6666666666899,1.0889830508474576
0.020316666666666674,9742.0,810.0,236.0,1.0,968.0740740740978,1.0875
0.02070000000000001,9738.0,806.0,240.0,1.0,967.5555555555796,1.0946502057613168
0.021083333333333343,9733.0,804.0,243.0,1.0,967.0370370370615,1.1008064516129032
0.02146666666666668,9726.0,799.0,248.0,1.0,966.5185185185434,1.0980392156862746
0.021850000000000012,9719.0,793.0,255.0,1.0,965.7037037037292,1.1046511627906976
0.022233333333333345,9714.0,790.0,258.0,1.0,965.037037037063,1.1102661596958174
0.022616666666666677,9707.0,787.0,263.0,1.0,964.2222222222488,1.112781954887218
0.023000000000000013,9703.0,785.0,266.0,1.0,963.4074074074346,1.1176470588235294
0.023383333333333346,9695.0,780.0,272.0,1.0,963.0370370370645,1.1195652173913044
0.02376666666666668,9690.0,776.0,276.0,1.0,962.1481481481762,1.1335740072202165
0.024150000000000015,9685.0,777.0,277.0,1.0,961.4814814815101,1.1392857142857142
0.02453333333333335,9680.0,776.0,280.0,1.0,960.8148148148439,1.1423487544483986
0.024916666666666684,9678.0,775.0,281.0,1.0,960.4444444444738,1.1423487544483986
0.02530000000000002,9678.0,775.0,281.0,1.0,959.8518518518816,1.1448763250883391
0.02568333333333335,9675.0,775.0,283.0,1.0,959.0370370370674,1.1503496503496504
0.026066666666666686,9670.0,772.0,286.0,1.0,958.8148148148454,1.1498257839721255
0.02645000000000002,9669.0,771.0,287.0,1.0,958.1481481481792,1.1457627118644067
0.026833333333333355,9661.0,763.0,295.0,1.0,957.7777777778091,1.1447811447811447
0.027216666666666684,9659.0,762.0,297.0,1.0,957.333333333365,1.1466666666666667
