PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-11,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,1.5511515140533447,s
Volume of the system,1e-05,ml
Number of iterations,10000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0
0.00038333333333333334,9999.0,1000.0,1.0,0.0,999.0370370370379,1.0
0.0007666666666666667,9999.0,1003.0,1.0,0.0,998.1481481481496,1.0
0.0011500000000000002,9999.0,1004.0,1.0,0.0,997.2592592592614,1.0
0.0015333333333333334,9998.0,1003.0,2.0,0.0,996.8148148148173,1.0
0.001916666666666667,9998.0,1009.0,2.0,0.0,995.925925925929,1.0
0.0023000000000000004,9998.0,1009.0,2.0,0.0,995.1111111111148,1.0
0.002683333333333334,9998.0,1009.0,2.0,0.0,994.4444444444487,1.0
0.0030666666666666668,9997.0,1008.0,3.0,0.0,993.8518518518565,1.0
0.00345,9997.0,1009.0,3.0,0.0,992.5925925925982,1.0
0.0038333333333333336,9997.0,1009.0,3.0,0.0,991.70370370371,1.0
0.004216666666666666,9997.0,1009.0,3.0,0.0,991.0370370370438,1.0
0.004599999999999999,9997.0,1009.0,3.0,0.0,990.2962962963036,1.0
0.004983333333333332,9997.0,1009.0,3.0,0.0,989.3333333333413,1.0
0.005366666666666666,9996.0,1008.0,4.0,0.0,988.6666666666752,1.0
0.00575,9996.0,1011.0,4.0,0.0,987.6296296296389,1.0
0.0061333333333333335,9996.0,1013.0,4.0,0.0,987.1851851851948,1.0
0.006516666666666667,9996.0,1013.0,4.0,0.0,986.7407407407507,1.0
0.006900000000000001,9996.0,1014.0,4.0,0.0,985.7777777777884,1.0
0.007283333333333334,9995.0,1013.0,5.0,0.0,984.9629629629742,1.0
0.007666666666666668,9995.0,1013.0,5.0,0.0,984.5185185185301,1.0
0.008050000000000002,9995.0,1014.0,5.0,0.0,983.7777777777899,1.0
0.008433333333333336,9993.0,1013.0,7.0,0.0,983.4814814814938,1.0
0.008816666666666669,9993.0,1015.0,7.0,0.0,982.7407407407536,1.0
0.009200000000000003,9993.0,1015.0,7.0,0.0,981.7777777777914,1.0
0.009583333333333336,9991.0,1013.0,9.0,0.0,981.1111111111252,1.0
0.00996666666666667,9991.0,1013.0,9.0,0.0,980.8148148148291,1.0
0.010350000000000003,9991.0,1013.0,9.0,0.0,980.0740740740889,1.0
0.010733333333333338,9991.0,1016.0,9.0,0.0,979.1851851852007,1.0
0.01111666666666667,9991.0,1017.0,9.0,0.0,978.7407407407566,1.0
0.011500000000000005,9990.0,1016.0,10.0,0.0,977.8518518518683,1.0
0.011883333333333338,9990.0,1017.0,10.0,0.0,977.1851851852022,1.0
0.012266666666666672,9990.0,1019.0,10.0,0.0,976.444444444462,1.0
0.012650000000000005,9989.0,1020.0,11.0,0.0,975.6296296296478,1.0
0.01303333333333334,9989.0,1021.0,11.0,0.0,974.8888888889076,1.0
0.013416666666666672,9988.0,1021.0,12.0,0.0,974.1481481481674,1.0
0.013800000000000007,9988.0,1022.0,12.0,0.0,973.2592592592791,1.0
0.014183333333333341,9986.0,1020.0,14.0,0.0,973.1111111111311,1.0
0.014566666666666674,9985.0,1020.0,15.0,0.0,972.4444444444649,1.0
0.014950000000000008,9985.0,1020.0,15.0,0.0,972.0000000000208,1.0
0.015333333333333341,9985.0,1021.0,15.0,0.0,971.4074074074287,1.0
0.015716666666666674,9983.0,1019.0,17.0,0.0,970.9629629629845,1.0
0.01610000000000001,9982.0,1019.0,18.0,0.0,970.1481481481703,1.0
0.016483333333333343,9982.0,1019.0,18.0,0.0,969.3333333333561,1.0
0.01686666666666668,9982.0,1019.0,18.0,0.0,968.740740740764,1.0
0.01725000000000001,9982.0,1020.0,18.0,0.0,968.2222222222458,1.0
0.017633333333333345,9982.0,1020.0,18.0,0.0,967.7037037037277,1.0
0.018016666666666677,9981.0,1019.0,19.0,0.0,967.0370370370615,1.0
0.018400000000000014,9980.0,1018.0,20.0,0.0,966.5925925926174,1.0
0.018783333333333343,9980.0,1021.0,20.0,0.0,965.8518518518772,1.0
0.019166666666666676,9980.0,1021.0,20.0,0.0,965.185185185211,1.0
0.01955000000000001,9979.0,1021.0,21.0,0.0,964.6666666666929,1.0
0.019933333333333345,9978.0,1020.0,22.0,0.0,964.0740740741007,1.0
0.020316666666666674,9976.0,1018.0,24.0,0.0,963.2592592592865,1.0
0.02070000000000001,9975.0,1017.0,25.0,0.0,962.5925925926203,1.0
0.021083333333333343,9975.0,1017.0,25.0,0.0,962.1481481481762,1.0
0.02146666666666668,9975.0,1017.0,25.0,0.0,961.7777777778061,1.0
0.021850000000000012,9974.0,1017.0,26.0,0.0,960.9629629629919,1.0
0.022233333333333345,9973.0,1017.0,27.0,0.0,960.2222222222517,1.0
0.022616666666666677,9973.0,1020.0,27.0,0.0,959.3333333333635,1.0
0.023000000000000013,9973.0,1021.0,27.0,0.0,958.6666666666973,1.0
0.023383333333333346,9973.0,1021.0,27.0,0.0,958.1481481481792,1.0
0.02376666666666668,9973.0,1021.0,27.0,0.0,957.407407407439,1.0
0.024150000000000015,9971.0,1020.0,29.0,0.0,956.0740740741066,1.0
0.02453333333333335,9969.0,1018.0,31.0,0.0,955.7777777778106,1.0
0.024916666666666684,9969.0,1019.0,31.0,0.0,954.9629629629964,1.0
0.02530000000000002,9967.0,1017.0,33.0,0.0,954.6666666667003,1.0
0.02568333333333335,9967.0,1017.0,33.0,0.0,954.1481481481821,1.0
0.026066666666666686,9965.0,1015.0,35.0,0.0,953.481481481516,1.0
0.02645000000000002,9964.0,1014.0,36.0,0.0,952.3703703704057,1.0
0.026833333333333355,9964.0,1016.0,36.0,0.0,951.9259259259616,1.0
0.027216666666666684,9963.0,1016.0,37.0,0.0,951.2592592592954,1.0
0.02760000000000002,9963.0,1017.0,37.0,0.0,950.3703703704072,1.0
0.027983333333333353,9963.0,1018.0,37.0,0.0,949.851851851889,1.0
0.02836666666666669,9963.0,1018.0,37.0,0.0,949.2592592592969,1.0
0.02875000000000002,9963.0,1020.0,37.0,0.0,948.3703703704086,1.0
0.029133333333333355,9963.0,1022.0,37.0,0.0,947.4074074074464,1.0
0.029516666666666688,9963.0,1024.0,37.0,0.0,946.5925925926322,1.0
0.029900000000000024,9962.0,1023.0,38.0,0.0,945.777777777818,1.0
0.030283333333333353,9962.0,1025.0,38.0,0.0,945.3333333333738,1.0
